0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.01E+08,3.11E-01,-1.00E+00,1.36E+00,2.77E+02,7.55E+02,-1.90E+02
2.02E+08,8.32E-01,-8.60E-01,2.06E+00,-4.20E+02,8.04E+02,1.65E+02
3.03E+08,1.09E+00,-2.15E-01,1.19E+00,-5.45E+02,5.27E+02,3.98E+02
4.04E+08,4.48E-01,-5.36E-01,-3.74E-01,1.18E+02,1.37E+02,5.27E+02
5.05E+08,2.97E-01,-1.06E+00,-3.50E-01,2.17E+02,-1.84E+02,5.95E+02
6.06E+08,7.26E-01,-3.11E-01,-9.93E-01,3.67E+02,-6.66E+02,5.10E+02
7.07E+08,-1.76E-01,-2.98E-01,-1.37E+00,3.57E+02,-8.48E+02,2.28E+02
8.08E+08,-2.14E-01,-6.09E-01,-1.50E-01,-1.07E+02,-7.74E+02,-4.12E+01
9.09E+08,9.01E-01,3.31E-01,-5.82E-02,-2.91E+01,-7.77E+02,-2.91E+02
1.01E+09,9.92E-01,8.14E-01,-4.01E-01,7.29E+01,-6.14E+02,-6.00E+02
1.11E+09,-8.96E-03,1.70E-01,-2.61E-02,-2.18E+02,-3.92E+02,-2.73E+02
1.21E+09,-6.99E-01,-1.05E+00,3.37E-01,-3.84E+02,-1.74E+02,-9.19E+01
1.31E+09,1.66E-01,-1.48E+00,2.01E-01,-2.44E+02,1.32E+02,-4.66E+02
1.41E+09,-5.54E-01,-7.66E-01,7.14E-02,-2.52E+02,3.32E+02,-2.94E+02
1.52E+09,-9.15E-01,6.87E-01,-3.94E-01,-4.58E+02,5.25E+02,8.67E+01
1.62E+09,-9.28E-01,1.25E+00,-6.88E-01,-3.21E+02,7.13E+02,4.98E+01
1.72E+09,-1.98E-01,3.93E-01,1.43E-01,-3.10E+01,5.95E+02,-1.06E+02
1.82E+09,1.09E+00,-1.70E-01,7.58E-01,6.90E+01,4.36E+02,-1.99E+02
1.92E+09,5.93E-01,-2.17E-01,-6.53E-02,1.90E+02,5.63E+02,1.22E+01
2.02E+09,-1.42E-01,5.25E-01,-2.41E-01,1.86E+02,3.56E+02,2.04E+01
2.12E+09,-9.96E-01,2.29E-01,4.48E-01,4.07E+02,-1.22E+02,-3.01E+02
2.22E+09,-4.17E-02,-3.27E-01,1.48E-01,5.03E+02,-6.65E+01,5.01E+01
